date,pm25_mean,AOD,LST_C,NO2,temperature_anomaly,rainfall_anomaly,wind_anomaly,temperature,dewpoint,rainfall_mm,pressure,wind_speed,month_sin,month_cos,winter_flag,monsoon_flag,PM25_lag_1,PM25_lag_3,PM25_lag_6,PM25_lag_12
2000-01-01,52.32325478588172,,,,0.0015522560074927,0.1202244505035775,-0.0804167627615812,18.500795639202124,12.502736725345756,0.3207467875073361,101290.96218182964,1.490234182147463,0.4999999999999999,0.8660254037844387,1,0,,,,
2000-02-01,53.98201920340086,0.539,27.37000000000004,,-1.8169839220756248,0.1607105304494035,-0.1869155988261135,19.728269151709583,12.319067387197263,0.7133510345997349,101172.486328125,1.2695908612090865,0.8660254037844386,0.5000000000000001,1,0,52.32325478588172,,,
2000-03-01,35.72191548034677,0.622,31.44500000000002,,-1.3629580908713097,0.2506822891817333,-0.0545773953263353,24.42421130518761,17.527532114008466,2.002819960160589,100820.58222551244,1.492279984217198,1.0,6.123233995736766e-17,0,0,53.98201920340086,,,
2000-04-01,35.437447347866666,0.58,31.20000000000003,,-0.3094840791490441,3.958479002301205,0.275553339833201,27.63182612525094,23.09730489518916,9.351074843057816,100425.26116536456,2.2786072285498493,0.8660254037844387,-0.4999999999999998,0,0,35.72191548034677,52.32325478588172,,
2000-05-01,35.33598715563172,0.8180000000000001,31.950000000000017,,-0.3899577805776744,5.605020571458432,-0.031848323878973,27.843337508170865,24.986408857119898,16.06662882402031,100222.58610551077,2.015601418266978,0.4999999999999999,-0.8660254037844387,0,0,35.437447347866666,53.98201920340086,,
2000-06-01,34.215615855495834,0.923,29.696666666666697,,-0.259799820337605,-1.8497973935832004,-0.0866977928479642,27.954416063096744,25.27108493381087,10.402533337087169,100028.81087239584,2.692149230488932,1.2246467991473532e-16,-1.0,0,1,35.33598715563172,35.72191548034677,,
2000-07-01,35.19208448654973,,30.870000000000005,,-0.135830234751598,-2.6993175589815,0.1262289558424618,27.74797395275488,24.730859826200746,7.656075098991197,99931.63563193045,3.167451178170751,-0.4999999999999997,-0.8660254037844388,0,1,34.215615855495834,35.437447347866666,52.32325478588172,
2000-08-01,34.36803884254839,0.653,,,-0.2596383745557595,-1.410309262843053,-0.052647846440307,27.62336200591062,25.130731857463843,7.6385280828622895,100092.48394447246,2.6119946790546664,-0.8660254037844384,-0.5000000000000004,0,1,35.19208448654973,35.33598715563172,53.98201920340086,
2000-09-01,34.99881045348333,0.684,28.443333333333367,,-0.8847179535107799,-0.1805372801174947,-0.072828184713227,26.834353065490745,24.373424890306296,8.663803120713471,100429.09123263888,1.8799855817556288,-1.0,-1.8369701987210294e-16,0,1,34.36803884254839,34.215615855495834,35.72191548034677,
2000-10-01,34.76892842579436,0.662,31.67000000000003,,-0.0656888234507206,0.8330621292601217,-0.16641243255166,26.303476423858285,23.498988723754906,6.123393356528683,100684.00505607355,1.0343536810554723,-0.8660254037844386,0.5000000000000001,0,0,34.99881045348333,35.19208448654973,35.437447347866666,
