AOD,AOD_available,LST_C,LST_available,NO2,NO2_available,climate_available,date,dewpoint,month,pressure,rainfall_mm,temperature,wind_speed,year,pm25_mean,pm25_max,pm10_mean,no2_ground,so2_mean,co_mean,ozone_mean,aqi_mean,observations,ground_pollution_imputed
,0,,0,,0,1,2000-01-01,12.502736725345756,1,101290.96218182964,0.3207467875073361,18.500795639202124,1.490234182147463,2000,52.32325478588172,114.3673723,89.09559482508065,25.443982524607527,22.41470458226881,1.2100211902392473,42.45009755064919,130.70417850701614,744.0,0
0.539,1,27.37000000000004,1,,0,1,2000-02-01,12.319067387197263,2,101172.486328125,0.7133510345997349,19.728269151709583,1.2695908612090865,2000,53.98201920340086,107.1990627,91.65675201511492,24.916947796422413,22.40838583306753,1.1782823543778735,42.38051436277873,133.73952855442528,696.0,0
0.622,1,31.44500000000002,1,,0,1,2000-03-01,17.527532114008466,3,100820.58222551244,2.002819960160589,24.42421130518761,1.492279984217198,2000,35.72191548034677,92.20844918,61.62965440577957,24.80020727939516,15.096392350247312,1.2022579102110216,64.69263461120967,100.41599055413978,744.0,0
0.58,1,31.20000000000003,1,,0,1,2000-04-01,23.09730489518916,4,100425.26116536456,9.351074843057816,27.63182612525094,2.2786072285498493,2000,35.437447347866666,101.3181868,61.63742806936112,24.34266214300972,14.8666510911,1.1963639389875,65.23060060081944,99.71985670470832,720.0,0
0.8180000000000001,1,31.950000000000017,1,,0,1,2000-05-01,24.986408857119898,5,100222.58610551077,16.06662882402031,27.843337508170865,2.015601418266978,2000,35.33598715563172,81.31737131,61.22357102747312,25.40298621622984,15.056952358182796,1.201892561591398,64.89973298962366,99.84050184048388,744.0,0
0.923,1,29.696666666666697,1,,0,1,2000-06-01,25.27108493381087,6,100028.81087239584,10.402533337087169,27.954416063096744,2.692149230488932,2000,34.215615855495834,84.64443787,59.34484395595833,24.96541729773333,15.17810259898889,1.1905455220513887,64.73439578090277,97.14425411663888,720.0,0
,0,30.870000000000005,1,,0,1,2000-07-01,24.730859826200746,7,99931.63563193045,7.656075098991197,27.74797395275488,3.167451178170751,2000,35.19208448654973,81.57826616,60.69498362290322,25.52115392971102,15.04831111334543,1.2073635587459677,42.55178711688844,99.50862753481182,744.0,0
0.653,1,,0,,0,1,2000-08-01,25.130731857463843,8,100092.48394447246,7.6385280828622895,27.62336200591062,2.6119946790546664,2000,34.36803884254839,91.97449151,60.09928186415323,25.190611079014783,14.873970564745967,1.194945008513441,41.7528053693871,97.26537843725806,744.0,0
0.684,1,28.443333333333367,1,,0,1,2000-09-01,24.373424890306296,9,100429.09123263888,8.663803120713471,26.834353065490745,1.8799855817556288,2000,34.99881045348333,85.7927211,60.31679787768056,24.807862116020832,14.935531594219444,1.1938902831361111,42.23355508312361,98.59475821575,720.0,0
0.662,1,31.67000000000003,1,,0,1,2000-10-01,23.498988723754906,10,100684.00505607355,6.123393356528683,26.303476423858285,1.0343536810554723,2000,34.76892842579436,81.92776987,60.75510583637097,25.56415502645699,14.749617322635752,1.2128719408508064,42.24422745626882,97.85142607379032,744.0,0
0.531,1,28.683333333333376,1,,0,1,2000-11-01,17.97464410993797,11,101150.64045138888,0.0783629393115603,23.015331586202024,0.9871616360762502,2000,35.693612659933336,88.23899177,61.60730139822223,25.564343806318053,14.89360524,1.204277338986111,42.06182219627361,100.14787573340276,720.0,0
0.408,1,26.235000000000014,1,,0,1,2000-12-01,12.419385590091792,12,101294.99760584676,0.0010192594829512,19.00827560424807,1.3124144533914206,2000,53.07550790413306,113.5064694,90.82420584321235,24.859824857821238,22.44190936037231,1.1962763245551076,41.93843964557392,131.56843435583335,744.0,0
0.6900000000000001,1,24.080000000000027,1,,0,1,2001-01-01,10.064326838011368,1,101222.3753832745,0.0103824491658645,17.789990217967727,1.79417686119955,2001,57.83112598097984,104.9298127,98.78156054818548,25.52907578834005,22.980340580415323,1.247817277045699,42.68356939300269,138.70400576645162,744.0,0
0.774,1,27.505000000000024,1,,0,1,2001-02-01,14.03986474900023,2,101011.24769810264,0.6837664830383616,21.71751940136869,1.3445731227882105,2001,57.4656602597634,113.939538,98.37847551785714,25.65257457260268,23.00817703228869,1.2482307351383928,41.68062810175893,138.1915058145982,672.0,0
0.459,1,32.87000000000003,1,,0,1,2001-03-01,16.31812490237661,3,100844.9176064768,1.784252970893481,25.63343612917004,1.3187602207789486,2001,38.03005439738576,88.40895135,65.87863392442203,25.538105473225805,15.350450867733873,1.2132700464637098,64.89078879208333,105.29393727748656,744.0,0
0.5760000000000001,1,33.97000000000003,1,,0,1,2001-04-01,22.082222345140224,4,100615.67834743924,3.5246225575420453,28.21696459452312,1.9795360287839847,2001,39.21598816977361,99.32659299,66.81021777222222,25.85191741684861,15.4183642642125,1.2296968220888889,65.59895029477778,107.81588327558332,720.0,0
0.626,1,32.145000000000024,1,,0,1,2001-05-01,24.22924657842168,5,100209.0937079973,17.587354416444178,26.71841851921488,1.7398450812071315,2001,38.8079910488965,88.40331804,66.22963321098119,25.64529722968414,15.633441826262096,1.2453796623642477,65.00295026102151,106.85663637379032,744.0,0
,0,23.750000000000057,1,,0,1,2001-06-01,24.703567420111824,6,99918.73812391494,16.817193983359857,26.804660458035016,3.08512821103174,2001,38.80912203679861,99.47427302,65.63464706572222,25.52321832853333,15.301610408765278,1.2195401758805555,64.78255923469445,106.57635478006944,720.0,0
,0,,0,,0,1,2001-07-01,24.77059348731916,7,99973.62978305612,8.675442878719027,27.53324175188618,3.380805952118847,2001,39.77242101252957,87.23437,67.52674864287636,26.160881719383063,15.258618593931452,1.2293599441532257,42.55094274627419,108.6739066514113,744.0,0
,0,30.470000000000027,1,,0,1,2001-08-01,24.98566976977929,8,100111.52089633736,6.175057170714519,28.053355235438232,2.634562883663023,2001,38.84863985335215,87.42226376,66.77960579651881,26.33221613477285,15.3832457938293,1.2254964917137097,42.96300750549865,106.51867841456988,744.0,0
0.589,1,32.85000000000002,1,,0,1,2001-09-01,24.828175269232872,9,100483.9551812066,7.081695100670278,27.366421169704893,1.6914897042007708,2001,39.083380127575,91.52509365,66.68815300231944,25.60107996076528,15.234795789894443,1.2434005670944444,42.14441951578194,107.58906090520831,720.0,0
