year,pm25_mean,pm25_max,pm10_mean,no2_mean,co_mean,so2_mean,ozone_mean,aqi_mean,observations
2000,39.5633890052171,73.45581410972677,68.19462094986112,25.11822567021596,1.1992267325347223,16.820211727032675,49.763026211152436,107.15420581310565,24.0
2001,43.65710237158881,77.8648037570411,74.67573705352854,25.675761207719862,1.2348155684663242,17.274464379179907,49.97655571638208,114.90015133133676,24.0
2002,47.64746247324201,82.22527235265754,80.9469750409726,26.665767230985388,1.273492794275,17.857804649217808,49.86618333998504,121.7871819443984,24.0
2003,51.86044279379749,88.37527146271233,88.60194802152054,27.43900027110377,1.311945842672831,18.304556543345434,50.04884896897717,128.11542112567352,24.0
2004,56.77304117297189,93.750065115847,96.4736693481671,27.972023312220173,1.342401099470173,18.827050793510246,49.94709032455897,135.23412674860086,24.0
2005,61.38875494498425,98.73512910367123,104.59061635632877,28.719043825890637,1.3772292213845891,19.308528584646346,49.96753600840685,140.88503468673744,24.0
2006,66.35685139754418,106.39250235942467,113.12338920299999,29.426714737935043,1.4145782034757992,19.816872415849314,50.01126060254166,146.21455091148516,24.0
2007,71.48074260521553,111.5767649720274,121.32049555377853,30.17708397759989,1.4587910495546803,20.380856337869748,49.958931971907305,151.4971988026267,24.0
2008,76.61160804929098,119.10766577090165,130.0561231655692,31.01676287980544,1.4921645664379553,20.84597501455726,50.0378957252081,155.86784641023792,24.0
2009,82.24003354192112,125.42747882364382,139.58534791854794,31.813214496027967,1.5242229021805935,21.36809501064783,49.90742446655445,160.47560570958106,24.0
2010,87.61487872194087,131.38608871671232,148.93027189721462,32.53836164055354,1.5602969092404109,21.87591393701256,50.12148395591027,164.2493625890297,24.0
2011,93.1846074990951,138.97620230931508,158.4491973150274,33.29665053026678,1.5923412743658676,22.51482248579064,49.972219503081966,168.49476010769064,24.0
2012,99.69746224017646,146.94951183360655,169.36725332534152,34.13240058869638,1.6254433016237475,22.93098300232559,50.04017965196584,172.9619403844023,24.0
2013,105.30717618655366,153.9630287479452,178.71853088973745,34.75402157231849,1.660581534641895,23.441278763183675,50.0856948221081,176.71444121395433,24.0
2014,111.64604676029795,161.67210750356165,190.06436155571348,35.47121724431929,1.7036953567053652,23.819665499539724,49.841439661607986,180.86356357638584,24.0
2015,118.19667367747147,170.7116205490411,201.19459691711188,36.28075236933288,1.738466030760388,24.44229852880628,49.92773045479212,185.1464060591781,24.0
2016,124.68532231493738,178.99494089699454,211.89919450258995,36.910098415703665,1.7718095898487023,25.042389807447062,50.06706073289014,189.58737177940571,24.0
2017,131.51388573825344,187.44552749863013,223.62623745292144,37.6972317368468,1.8106028239408676,25.4190872713516,49.86320662248824,194.27854275944063,24.0
2018,138.20150390584817,193.57860753753423,234.276704081742,38.44415069841598,1.8447219344506849,25.95225227812854,50.222176779350114,199.01996189218036,24.0
2019,145.2391299559418,200.46399635945204,245.2517612666872,39.26027829995742,1.8820236445136986,26.46053597579578,49.905637086485505,204.3401110972945,24.0
2020,152.1427928998839,207.28500083469945,256.5396488739014,39.858419090783585,1.9120872076251139,27.040052903090505,50.24117773373338,209.68576271194217,24.0
2021,158.49106035130023,213.62022524054797,266.86394872093035,40.75293597749464,1.9535641527182646,27.375954610878996,49.96214570493253,214.9510454490297,24.0
2022,118.45270627168378,159.74927864136987,194.4528799353767,44.21787651574213,308.3449352858235,21.808677131999655,52.81961459558573,177.6336649638736,33.797260273972604
2023,50.23149543378996,72.88794520547945,74.33237442922375,41.08971461187215,655.0452054794521,12.922522831050227,65.68287671232876,118.71130136986301,48.0
2024,47.677891621129326,68.62786885245902,67.39520719489981,27.29031193078324,531.5018214936248,13.05724043715847,73.68897996357013,114.87260928961749,48.0
2025,47.6954001019368,71.63761467889908,52.02779051987768,26.258269622833843,496.6367227319063,15.285690621814476,75.78019877675841,113.18246687054025,48.0
